"price","types","address","latitude","longtitude","date","sq.","TotalBeds","TotalBaths","TotalReceptions","FlatType"
865000,"2 bed flat for sale ","Pages Walk, London SE1",51.495738,-0.081208,"2/9/2021","840",2,2,0,"flat"
750000,"3 bed detached house for sale ","Park Road, Kenley CR8",51.320999,-0.108466,"2/9/2021",NA,3,1,1,"detached house"
419950,"2 bed terraced house for sale ","Anthony Road, London SE25",51.387405,-0.071903,"2/9/2021",NA,2,2,2,"terraced house"
1095000,"3 bed flat for sale ","Pages Walk, London SE1",51.495738,-0.081208,"2/9/2021","968",3,2,0,"flat"
849995,"4 bed semi-detached house for sale ","Inchmery Road, London SE6",51.440248,-0.013402,"2/9/2021",NA,4,1,3,"semi-detached house"
3e+05,"2 bed flat for sale ","North Block, The Railstore, Kidman Close, Gidea Park, Romford RM2",51.584796,0.2138,"2/9/2021",NA,2,1,1,"flat"
625000,"2 bed flat for sale ","Holloway Road, London N7",51.550472,-0.109663,"2/9/2021",NA,2,2,1,"flat"
1450000,"3 bed flat for sale ","Netherhall Gardens, Hampstead, London NW3",51.552177,-0.177179,"2/9/2021",NA,3,2,1,"flat"
1750000,"4 bed terraced house for sale ","Offord Road, London N1",51.543645,-0.111717,"2/9/2021",NA,4,2,2,"terraced house"
465000,"2 bed flat for sale ","Purbrook Estate, Tower Bridge Road, London SE1",51.498665,-0.078751,"2/9/2021",NA,2,1,1,"flat"
525000,"2 bed flat for sale ","Hartington Road, London W4",51.481372,-0.274774,"2/9/2021","589",2,1,1,"flat"
550000,"3 bed flat for sale ","Chrisp Street, London E14",51.514668,-0.014592,"2/9/2021",NA,3,2,1,"flat"
7e+05,"2 bed flat for sale ","Deveraux House, Duke Of Wellington Avenue, London SE18",51.4941,0.06686,"2/9/2021",NA,2,2,1,"flat"
1e+06,"3 bed end terrace house for sale ","Maple Grove, London W5",51.501308,-0.303982,"2/9/2021","1,167",3,2,2,"end terrace house"
670000,"5 bed property for sale ","Hawkhurst Way, New Malden KT3",51.396448,-0.269297,"2/9/2021",NA,5,2,2,"property"
299995,"3 bed maisonette for sale ","Dorrit Mews, Edmonton N18",51.615413,-0.073343,"2/9/2021",NA,3,1,1,"maisonette"
1175000,"3 bed flat for sale ","College Crescent, London NW3",51.545391,-0.175109,"2/9/2021",NA,3,2,1,"flat"
385000,"2 bed flat for sale ","Charter Court, 65B Bridge Street, Pinner HA5",51.595293,-0.384438,"2/9/2021",NA,2,1,1,"flat"
1100000,"3 bed terraced house for sale ","Derwent, Derby Road, London E9",51.537427,-0.046631,"2/9/2021","872",3,2,1,"terraced house"
575000,"2 bed flat for sale ","South Lambeth Road, London SW8",51.479699,-0.123689,"2/9/2021",NA,2,1,1,"flat"
207500,"1 bed property for sale ","Uxbridge Road, Hatch End, Pinner HA5",51.606934,-0.375738,"2/9/2021",NA,1,1,1,"property"
550000,"4 bed semi-detached house for sale ","Rush Green Road, Romford RM7",51.564399,0.169995,"2/9/2021",NA,4,3,1,"semi-detached house"
